31.01.2024                                                                                Salida dinámica de lista                                                                                                                                     1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
ABC SL                                                                                     Balance de Situación                                                                                                       Hora 10:58:55     Fecha 31.01.2024
Madrid                                                                                                                                                                                                               RFBILA00/73014028E Pág.           1

10                   Tipo de moneda Moneda de sociedad
EUR                  Imptes en Euro (moneda de UE a partir 01.01.1999)
2023.01 -2023.16     Períodos del informe
2022.01 -2022.16     Períodos de comparación
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|Posición|Texto p.posición balance/PyG                                 |PlCt|Nº cuenta |Grp.|Cta.grp.|PlC2|Cta.alt.|Soc.|Div.|Área func.|Año|Período|Tp.moneda|Mon.|      TotPerInf|     TotPerComp|Desv. absoluta| Desv.rel.|Desv.rel.|Informe totales|
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|1       |A C T I V O                                                  |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1       |===========                                                  |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|12      |Inmovilizado                                                 |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|12      |============                                                 |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|121     |Gastos de establecimiento                                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|121     |-------------------------                                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|121     |2060000000 APLICACIONES INFORMÁTICAS                         |BERG|2060000000|CONS|206000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |  1.161.504,24 |  1.161.504,24 |         0,00 |       0,0|     0,0 |               |
|121     |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |  1.161.504,24 |  1.161.504,24 |         0,00 |       0,0|     0,0 |3              |
|122     |Inmovilizaciones inmateriales                                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|122     |-----------------------------                                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1222    |Concesiones, patentes, licencias, marcas y s.                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1222    |2110000000 CONSTRUCCIONES                                    |BERG|2110000000|CONS|211000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    587.229,69 |    587.229,69 |         0,00 |       0,0|     0,0 |               |
|1222    |2120000000 INSTALACIONES TÉCNICAS                            |BERG|2120000000|CONS|212000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |          0,00 |     25.534,00 |    25.534,00-|    100,0-|   100,0-|               |
|1222    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    587.229,69 |    612.763,69 |    25.534,00-|      4,2-|     4,2-|4              |
|1225    |Aplicaciones informáticas                                    |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1225    |2150000000 OTRAS INSTALACIONES                               |BERG|2150000000|CONS|215000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |    314.607,14 |    527.537,47 |   212.930,33-|     40,4-|    40,4-|               |
|1225    |                                                             |    |          |    |        |    |        |    |    |          |   |       |10       |EUR |    314.607,14 |    527.537,47 |   212.930,33-|     40,4-|    40,4-|4              |
|1229    |Bienes en régimen de arrendamiento financiero                |    |          |    |        |    |        |    |    |          |   |       |         |    |               |               |              |          |     0,0 |               |
|1229    |2170000000 EQUIPOS PARA PROCESOS DE INFORMACIÓN              |BERG|2170000000|CONS|217000N |BERG|        |OIVE|BCN |          |   |     16|10       |EUR |     44.946,14 |     68.430,82 |    23.484,68-|     34,3-|    34,3-|               |
